,Median year housing units were built,Median contract rent,Median gross rent (contract rent plus utilities),Median value (dollars) for Owner-Occupied housing units,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status,Zipcode
25278,1995.0,961.0,1247.0,182900.0,1663.0,78610
25281,1999.0,904.0,1064.0,192700.0,1837.0,78613
25285,1998.0,721.0,1072.0,102900.0,1291.0,78617
25305,2000.0,973.0,1173.0,157000.0,1585.0,78641
25312,1981.0,897.0,1134.0,191200.0,1664.0,78652
25313,2003.0,978.0,1304.0,143500.0,1488.0,78653
25319,2000.0,914.0,1143.0,163000.0,1661.0,78660
25323,1995.0,792.0,1006.0,147600.0,1524.0,78664
25333,1996.0,928.0,1167.0,210300.0,1856.0,78681
25334,2000.0,1396.0,1522.0,317100.0,2503.0,78701
25335,1957.0,545.0,695.0,167500.0,1319.0,78702
25336,1958.0,965.0,1093.0,593800.0,3273.0,78703
25337,1974.0,768.0,895.0,330100.0,2074.0,78704
25338,1977.0,891.0,1001.0,300000.0,2213.0,78705
25339,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,78712
25340,2002.0,846.0,977.0,245700.0,2218.0,78717
25341,1992.0,875.0,1188.0,105900.0,1119.0,78719
25342,1971.0,640.0,830.0,121700.0,1128.0,78721
25343,1954.0,737.0,887.0,251200.0,1917.0,78722
25344,1971.0,654.0,815.0,168300.0,1400.0,78723
25345,1993.0,694.0,939.0,106300.0,1186.0,78724
25346,2000.0,1010.0,1197.0,112900.0,1200.0,78725
25347,2001.0,863.0,1037.0,348100.0,2565.0,78726
25348,1993.0,853.0,989.0,197300.0,1615.0,78727
25349,1993.0,752.0,887.0,167200.0,1511.0,78728
25350,1990.0,853.0,1012.0,187300.0,1616.0,78729
25351,1998.0,962.0,1101.0,579300.0,3325.0,78730
25352,1977.0,861.0,969.0,429700.0,2618.0,78731
25353,2003.0,1513.0,1573.0,375300.0,2924.0,78732
25354,1992.0,1266.0,1521.0,439800.0,2774.0,78733
25355,1991.0,1024.0,1297.0,322500.0,2198.0,78734
25356,1996.0,955.0,1107.0,375100.0,2738.0,78735
25357,1986.0,888.0,1023.0,212600.0,1690.0,78736
25358,1995.0,958.0,1139.0,325000.0,2448.0,78737
25359,2002.0,1172.0,1281.0,459300.0,3061.0,78738
25360,2000.0,1889.0,2001.0,349000.0,2589.0,78739
25361,1984.0,670.0,811.0,117000.0,1208.0,78741
25362,1981.0,336.0,669.0,44200.0,756.0,78742
25363,1987.0,709.0,898.0,108800.0,1259.0,78744
25364,1979.0,796.0,958.0,159800.0,1369.0,78745
25365,1986.0,1070.0,1205.0,610800.0,3401.0,78746
25366,2001.0,849.0,1048.0,170700.0,1483.0,78747
25367,1994.0,888.0,1086.0,181800.0,1617.0,78748
25368,1994.0,939.0,1093.0,229900.0,1756.0,78749
25369,1985.0,808.0,989.0,295300.0,2079.0,78750
25370,1970.0,739.0,829.0,300300.0,2033.0,78751
25371,1973.0,633.0,744.0,148900.0,1354.0,78752
25372,1984.0,649.0,795.0,134000.0,1348.0,78753
25373,2001.0,774.0,925.0,164300.0,1566.0,78754
25374,1959.0,759.0,883.0,330600.0,2081.0,78756
25375,1964.0,734.0,878.0,238300.0,1765.0,78757
25376,1983.0,711.0,875.0,140700.0,1317.0,78758
25377,1985.0,804.0,938.0,302300.0,2087.0,78759
