,Poverty White,Poverty Black,Poverty American Indian,Poverty Asian,Poverty Hispanic,Poverty Two or More Races,Total Poverty Count,Poverty Male,Poverty Female,Zipcode
31370,2618.0,34.0,0.0,92.0,10.0,0.0,3055.0,1406.0,1649.0,78610
31373,2446.0,341.0,9.0,107.0,0.0,410.0,3404.0,1456.0,1948.0,78613
31377,3189.0,366.0,124.0,104.0,0.0,98.0,5190.0,2623.0,2567.0,78617
32187,2311.0,97.0,0.0,43.0,0.0,101.0,2805.0,1250.0,1555.0,78641
32194,185.0,13.0,0.0,0.0,0.0,34.0,264.0,111.0,153.0,78652
32195,1837.0,415.0,0.0,0.0,0.0,0.0,2891.0,1358.0,1533.0,78653
32201,4900.0,1534.0,0.0,370.0,0.0,64.0,7049.0,3010.0,4039.0,78660
32205,4220.0,1408.0,61.0,453.0,0.0,400.0,6676.0,3273.0,3403.0,78664
32215,3830.0,300.0,132.0,108.0,0.0,78.0,4482.0,2085.0,2397.0,78681
32216,637.0,92.0,13.0,17.0,0.0,11.0,788.0,413.0,375.0,78701
32217,3447.0,1249.0,40.0,141.0,0.0,159.0,5730.0,2807.0,2923.0,78702
32218,1134.0,29.0,26.0,214.0,0.0,0.0,1403.0,769.0,634.0,78703
32219,6368.0,535.0,155.0,116.0,0.0,259.0,7539.0,3700.0,3839.0,78704
32220,9202.0,312.0,89.0,3182.0,0.0,508.0,13577.0,6505.0,7072.0,78705
32221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78712
32222,471.0,0.0,0.0,108.0,0.0,0.0,579.0,226.0,353.0,78717
32223,148.0,0.0,0.0,0.0,0.0,0.0,163.0,63.0,100.0,78719
32224,1958.0,1319.0,59.0,46.0,25.0,64.0,3878.0,1538.0,2340.0,78721
32225,458.0,109.0,0.0,16.0,35.0,161.0,1005.0,338.0,667.0,78722
32226,6526.0,2232.0,9.0,96.0,0.0,132.0,9608.0,4200.0,5408.0,78723
32227,4575.0,1451.0,46.0,0.0,0.0,259.0,6943.0,3509.0,3434.0,78724
32228,696.0,599.0,0.0,0.0,0.0,64.0,1359.0,711.0,648.0,78725
32229,959.0,14.0,0.0,0.0,0.0,31.0,1004.0,256.0,748.0,78726
32230,1201.0,338.0,0.0,432.0,0.0,48.0,2137.0,857.0,1280.0,78727
32231,1299.0,542.0,0.0,183.0,0.0,137.0,2295.0,986.0,1309.0,78728
32232,1516.0,403.0,0.0,218.0,0.0,73.0,2267.0,1056.0,1211.0,78729
32233,349.0,0.0,0.0,20.0,0.0,46.0,415.0,115.0,300.0,78730
32234,1734.0,73.0,0.0,571.0,0.0,41.0,2446.0,987.0,1459.0,78731
32235,243.0,0.0,0.0,0.0,0.0,0.0,243.0,80.0,163.0,78732
32236,184.0,0.0,0.0,0.0,0.0,0.0,199.0,60.0,139.0,78733
32237,1525.0,10.0,0.0,0.0,0.0,12.0,1560.0,547.0,1013.0,78734
32238,1092.0,43.0,0.0,0.0,0.0,24.0,1159.0,544.0,615.0,78735
32239,221.0,2.0,0.0,48.0,0.0,0.0,271.0,70.0,201.0,78736
32240,454.0,2.0,0.0,1.0,0.0,0.0,459.0,189.0,270.0,78737
32241,311.0,0.0,0.0,46.0,0.0,94.0,451.0,199.0,252.0,78738
32242,419.0,0.0,0.0,29.0,0.0,0.0,448.0,189.0,259.0,78739
32243,14409.0,2551.0,121.0,1004.0,0.0,883.0,21056.0,10360.0,10696.0,78741
32244,133.0,26.0,0.0,0.0,0.0,0.0,159.0,63.0,96.0,78742
32245,10343.0,597.0,31.0,5.0,0.0,414.0,13376.0,6416.0,6960.0,78744
32246,6878.0,508.0,31.0,250.0,9.0,331.0,8185.0,3609.0,4576.0,78745
32247,1221.0,54.0,0.0,95.0,86.0,20.0,1490.0,707.0,783.0,78746
32248,1185.0,0.0,0.0,20.0,0.0,13.0,1465.0,676.0,789.0,78747
32249,3274.0,162.0,18.0,98.0,0.0,222.0,3882.0,2021.0,1861.0,78748
32250,1629.0,175.0,1.0,202.0,0.0,60.0,2106.0,979.0,1127.0,78749
33041,1835.0,45.0,0.0,460.0,0.0,98.0,2438.0,1112.0,1326.0,78750
33042,2560.0,87.0,34.0,156.0,0.0,82.0,3433.0,1386.0,2047.0,78751
33043,3703.0,689.0,0.0,104.0,0.0,95.0,5828.0,2978.0,2850.0,78752
33044,7346.0,2094.0,63.0,341.0,18.0,395.0,13934.0,6795.0,7139.0,78753
33045,1538.0,328.0,0.0,205.0,0.0,137.0,2635.0,908.0,1727.0,78754
33046,683.0,73.0,0.0,39.0,0.0,0.0,944.0,624.0,320.0,78756
33047,2377.0,181.0,0.0,165.0,0.0,40.0,3769.0,1755.0,2014.0,78757
33048,6020.0,1227.0,23.0,381.0,0.0,224.0,10990.0,5177.0,5813.0,78758
33049,1803.0,248.0,0.0,308.0,0.0,66.0,2545.0,1247.0,1298.0,78759
